Data Source	World Development Indicators			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Population, male"	SP.POP.TOTL.MA.IN	4503524	4517094	4533442	4565624	4607152	4647323	4677048	4701444	4718271	4729870	4732626	4739202	4755653	4768512	4781582	4793742	4800959	4805831	4809540	4813315	4818261	4817946	4816634	4816431	4816750	4818768	4821284	4826362	4842768	4861369	4876707	4895500	4915880	4935471	4950976	4961594	4971479	4983657	4994557	5006580	5019740	5038558	5063146	5086571	5110738	5140743	5176325	5215882	5258403	5301677	5350771	5420651	5453743	5479418	5505521	5541882	5577477	5609017	5645728	5686560	5727672
Belgium	BEL	"Population ages 70-74, female (% of female population)"	SP.POP.7074.FE.5Y	3.728485132	3.745815046	3.782550395	3.838962606	3.913984695	4.006401587	4.063256397	4.136270238	4.222125051	4.315911378	4.413554203	4.468241758	4.5252873	4.583775566	4.640481556	4.692210585	4.68762799	4.675038096	4.663163905	4.663199374	4.678347275	4.673395371	4.697728171	4.714937284	4.670567527	4.53878789	4.286610338	3.943894224	3.604185767	3.406632293	3.424420453	3.601652558	3.968016155	4.417735046	4.803049291	5.044414127	5.136682903	5.119283123	5.039882663	4.966845034	4.93561741	4.893315124	4.877500162	4.873979324	4.863555633	4.836495956	4.778110738	4.714443197	4.640627159	4.552438311	4.450746519	4.313785449	4.168776509	4.047441354	3.997056252	4.039780482	4.168158268	4.388636157	4.652331743	4.887911436	5.054299357
Belgium	BEL	"Population ages 45-49, female (% of female population)"	SP.POP.4549.FE.5Y	6.566721323	6.173818907	5.655877422	5.13132584	4.779967174	4.703527115	4.876007037	5.31694021	5.893668875	6.397454565	6.701434817	6.837493084	6.791701568	6.629718914	6.463109601	6.358429208	6.283142488	6.249035883	6.239048897	6.220602926	6.174729537	6.111870203	6.03936556	5.95678977	5.863808186	5.763052965	5.643002389	5.506398837	5.39218721	5.35966274	5.441472995	5.624126046	5.923711519	6.276566732	6.58467571	6.789328303	6.894290816	6.903122159	6.855474263	6.816894036	6.827016789	6.863276583	6.930089196	7.017055671	7.105106213	7.181148967	7.233983067	7.277598536	7.301644411	7.295249013	7.25562058	7.195898518	7.114201943	7.019518812	6.922870393	6.830226768	6.737875016	6.644444237	6.554722703	6.473848747	6.404790463
Belgium	BEL	"Population ages 15-64, female"	SP.POP.1564.FE.IN	2973197	2963604	2963258	2978249	3000042	3019650	3030143	3038672	3043853	3048032	3049437	3056333	3071465	3086656	3104869	3125321	3139649	3154995	3172406	3193166	3218046	3239891	3263691	3287743	3307445	3321102	3323671	3322465	3325024	3327511	3327804	3330529	3333943	3336452	3336422	3333949	3329914	3329892	3330801	3332913	3335396	3345372	3358323	3370327	3384259	3404190	3429064	3459492	3492752	3524294	3555526	3596903	3611585	3618284	3622283	3630451	3631492	3626878	3624530	3625879	3629597
Belgium	BEL	Women who were first married by age 18 (% of women ages 20-24)	SP.M18.2024.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	16.8	17.3	16.8	17.1	17.2	16.4	15.9	15.3	14.8	14.7	14.7	14.6	14	13.3	12.7	12.2	12.3	12.4	12.5	12.6	12.6	12.6	12.2	11.9	11.7	11.6	11.9	11.9	12.1	12.2	12.4	12.6	12.4	12	11.5	11.4	11.5	11.4	11.2	11.2	11.4	11.2	10.9	11	11.3	11.4	11.6	11.7	11.9	11.8	11.9	11.7	11.5	11.3	11.2	10.8	10.8	10.5	10.4	10.1	\N
Belgium	BEL	"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"	SL.WAG.0714.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Unemployment with advanced education (% of total labor force with advanced education)	SL.UEM.ADVN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.869999886	3.730000019	2.660000086	3.119999886	3.480000019	3.809999943	3.660000086	4.409999847	4.5	3.75999999	3.630000114	4.480000019	4.449999809	3.789999962	3.940000057	4.909999847	4.670000076	4.590000153	4.199999809	4.28000021	3.450000048	3.150000095	3.430000067
Belgium	BEL	"Labor force with intermediate education, female (% of female working-age population with intermediate education)"	SL.TLF.INTM.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	53.81999969	55.95999908	55.97999954	56.58000183	54.81999969	55.79999924	54.77999878	55.93999863	55.38999939	53.84000015	53.88999939	55.33000183	54.68000031	56.95000076	55.59000015	55.29000092	56.88999939	55.43000031	55.86000061	54.52999878	54.04000092	54.56000137	53.93000031	53.68999863	51.40999985	51.68999863	52.63999939	52.72000122	50.22999954
Belgium	BEL	"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"	SL.TLF.ACTI.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	71.27	71.86	71.65	71.24	72.08	72.39	72.33	72.29	72.53	73.1	73.81	72.62	72.52	72.38	72.57	73.92	73.53	73.88	73.54	72.96	73.53	72.27	72.4	72.7	72.49	72.29	72.47	72.83	72.86	73.13	\N
Belgium	BEL	"Average working hours of children, study and work, ages 7-14 (hours per week)"	SL.TLF.0714.SW.TM	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Child employment in manufacturing (% of economically active children ages 7-14)	SL.MNF.0714.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"	SL.EMP.VULN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	12.80999994	13.3599999	13.32999992	13.15999985	13.35999966	13.4000001	12.85000038	12.56999993	12.82000041	11.52000022	10.73000002	11.40000045	11.0200001	10.17000008	10.58000016	10.39999962	10.31999969	10.02000046	10.31999969	9.889999866	10.17000043	10.24999982	10.77999991	10.51000041	10.87999976	10.69000036	10.20000029	10.24000037	10.6000002	\N
Belgium	BEL	"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"	SL.EMP.1524.SP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	31.3939991	31.44000053	28.06599998	27.46299934	26.54100037	26.01799965	25.16600037	25.93700027	25.40200043	30.23800087	28.42399979	28.52300072	27.15299988	28.07699966	27.50499916	27.59900093	27.51399994	27.41300011	25.33300018	25.23399925	25.99600029	25.27199936	23.65099907	23.19499969	23.36599922	22.74500084	22.65699959	24.94199944	26.5359993	24.03199959
Belgium	BEL	Average transaction cost of sending remittances from a specific country (%)	SI.RMT.COST.OB.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	9.535483023	7.622048927	9.95	7.426403463	6.971824232	7.339146426	7.49751851	7.3125422	7.786859	7.580779
Belgium	BEL	Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.2	\N	\N	0.5	\N	\N	\N	0.8	\N	\N	0.4	\N	0.3	\N	\N	0.3	\N	\N	0.2	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	\N	\N
Belgium	BEL	"Domestic general government health expenditure per capita, PPP (current international $)"	SH.XPD.GHED.PP.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1659.165809	1772.192623	1861.20197	2103.088902	2246.538511	2295.759044	2405.464825	2499.564166	2765.126713	2987.013265	3117.964027	3249.14187	3411.113267	3517.347501	3642.211283	3670.047389	4050.675503	4214.31054	4366.027603	4489.06813	\N
Belgium	BEL	Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure	SH.UHC.OOPC.10.TO	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Prevalence of wasting, weight for height, male (% of children under 5)"	SH.STA.WAST.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Mortality rate attributed to unintentional poisoning (per 100,000 population)"	SH.STA.POIS.P5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.5	0.6	0.5	0.4	0.6	0.5	0.4	0.4	0.5	0.4	0.6	0.5	0.4	0.4	0.4	0.4	0.3	0.4	0.4	0.4	\N
Belgium	BEL	"People with basic handwashing facilities including soap and water, urban (% of urban population)"	SH.STA.HYGN.UR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Risk of impoverishing expenditure for surgical care (% of people at risk)	SH.SGR.IRSK.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belgium	BEL	"Hospital beds (per 1,000 people)"	SH.MED.BEDS.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	8.300000191	\N	\N	\N	\N	\N	\N	\N	\N	\N	9.399999619	\N	\N	\N	\N	9.100000381	\N	\N	\N	\N	8	7.900000095	7.699999809	7.699999809	7.599999905	\N	\N	7.199999809	7.199999809	7.099999905	6.72	6.62	6.54	6.53	6.48	6.44	6.35	6.27	6.25	6.15	6.12	6.05	5.99	5.93	5.85	5.83	5.76	5.66	5.62	5.58	\N
Belgium	BEL	People using safely managed drinking water services (% of population)	SH.H2O.SMDW.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	99.41810223	99.41809458	99.4180984	99.41809986	99.41810188	99.41809927	99.41809926	99.41809444	99.41809672	99.41810037	99.46766863	99.51724425	99.5668098	99.61638142	99.66595263	99.71552438	99.76509934	99.81466773	99.8642388	99.91381172	99.91380843
Belgium	BEL	"Probability of dying among youth ages 20-24 years (per 1,000)"	SH.DYN.2024	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4.5	4.4	4.4	4.3	4.3	4.2	4.1	4	4	3.9	3.8	3.7	3.6	3.4	3.2	3.1	2.9	2.8	2.7	2.6	2.5	2.4	2.3	2.2	2.1	2.1	2	1.9	1.8	1.8	1.7
Belgium	BEL	Prevalence of anemia among non-pregnant women (% of women ages 15-49)	SH.ANM.NPRG.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	11	10.9	10.7	10.7	10.6	10.6	10.7	10.7	10.7	10.8	10.8	11	11.2	11.3	11.5	11.8	12.3	12.7	13.1	13.5	\N
Belgium	BEL	Proportion of seats held by women in national parliaments (%)	SG.GEN.PARL.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	12.66666667	12.66666667	23.33333333	23.33333333	23.33333333	23.33333333	35.33333333	34.66666667	34.66666667	34.66666667	35.33333333	35.33333333	38	39.33333333	38	38	38	39.33333333	39.33333333	39.33333333	38	38	42	41.33333333
Belgium	BEL	"School enrollment, tertiary, male (% gross)"	SE.TER.ENRR.MA	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	21.50247002	21.79540062	23.45388985	24.17818069	24.11385918	\N	\N	27.64248085	29.27137947	28.19568062	26.70249939	28.76091003	29.06014061	29.88158989	33.03968048	33.63098907	34.21865845	35.03282166	37.17573929	38.31813812	39.58182907	\N	44.87118149	47.54008102	52.95235825	54.39974976	\N	\N	52.82191849	54.23754883	54.20780945	54.41960144	54.58419037	55.16500854	54.53783035	54.72309875	54.15079117	54.93643188	58.13866043	59.95714951	61.60890961	62.49103928	62.96121979	63.50870132	64.76876831	66.09980011	69.28978729	68.54914093	68.63536072	\N
Belgium	BEL	Adolescents out of school (% of lower secondary school age)	SE.SEC.UNER.LO.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2.133080006	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.017960001	0.234380007	0.071900003	0.870230019	\N	\N	3.29027009	1.441300035	0.052329998	0.065339997	0.117229998	0.020470001	0.225500003	1.071050048	4.433229923	5.414130211	3.96536994	2.216890097	1.373160005	1.342630029	0.699840009	0.768400013	2.416069984	2.893640041	1.380689979	0.858690023	0.332540005	\N
Belgium	BEL	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	93.23102	96.84313	93.13684	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Secondary education, pupils (% female)"	SE.SEC.ENRL.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	48.36736	48.26172	48.41342	48.43689	48.74153	48.76717	49.2245	49.36116	49.34704	49.55912	49.68236	49.54112	49.78812	49.41535	49.44597	49.17	49.10878	49.03934	49.04518	49.12052	49.07062	49.0445	50.2981	50.33704	50.63836	50.55005	\N	\N	50.6303	51.2323	51.42563	51.64196	51.25249	51.16855	51.65622	51.84356	52.03184	52.33245	52.42225	52.17376	52.1321	52.23633	52.1697	52.10666	52.12979	51.69941	51.68019	\N	\N	\N
Belgium	BEL	Children out of school (% of primary school age)	SE.PRM.UNER.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.702209949	\N	2.379570007	1.845020056	2.959759951	2.877330065	6.018420219	6.70705986	7.127429962	5.695849895	4.314869881	3.109719992	\N	\N	3.465950012	4.906020164	2.333630085	2.958329916	2.921720028	2.460299969	\N	\N	0.058049999	0	0.022500001	0.261350006	1.193689942	2.750479937	3.105770111	2.75229001	1.813420057	1.198909998	1.356299996	1.597200036	1.446660042	1.166489959	1.207460046	1.313879967	0.975790024	0.706290007	0.275900006	0.519879997	0.892660022	\N
Belgium	BEL	"Repeaters, primary, female (% of female enrollment)"	SE.PRM.REPT.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	23.00448	22.91074	22.87621	22.51711	21.87365	21.98265	21.3898	17.79111	17.39164	18.89596	16.52308	16.23449	14.97457	14.4883	14.63245	\N	\N	14.27667	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.05424	3.06667	3.27374	3.19861	3.17225	3.06503	2.89847	2.53154	2.40586	2.39951	2.19315	2.12826	\N	\N	\N
Belgium	BEL	"School enrollment, primary (% net)"	SE.PRM.NENR	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	96.29779	\N	97.62043	98.15498	97.04024	97.12267	93.98158	93.29294	92.87257	94.30415	95.68513	96.89028	\N	\N	96.53405	95.09398	97.66637	97.04167	97.07828	97.5397	\N	\N	98.89581	98.89887	98.94338	98.67874	97.71071	96.10918	95.74554	96.05934	96.98175	97.56414	97.482	97.25467	97.38063	97.69174	97.70043	97.64411	98.06739	98.29369	98.76482	\N	\N	\N
Belgium	BEL	"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	69.20464325	70.31040192	71.26571655	74.02082062	74.43074799	69.30526733	69.97360229	76.19699097	80.4278717	74.53455353	77.89627838	75.84951019	74.51908875	73.73841095	75.56976318	\N	\N	82.71797943	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Coverage of social safety net programs in 4th quintile (% of population)	per_sa_allsa.cov_q4_tot	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)	per_allsp.ben_q1_tot	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Belgium	BEL	Net primary income (Net income from abroad) (current US$)	NY.GSR.NFCY.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	314951996.8	316223994.7	403236183.7	450348789.1	528123446.6	610705275.9	676506792.1	595778278	631215575.8	273408090.3	60198648.09	229518687.5	-186955677.2	-238743984.2	-42368053.62	227955024.1	372747877.9	876034575.9	915296763.6	525063472.6	947346692.4	1714611931	1852431619	3855944496	5947083434	6324849480	6493680782	6149300857	6278728606	6013743874	6087433204	4424697987	4444099379	6060158014	5117333002	4816938192	5866390666	6542294005	12531565842	8951236455	7381944592	836165437	11513778327	12850669863	11218993187	6540610420	4563207637	4597601822	4806144361	5143201740	5523660383
