Data Source	World Development Indicators			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	"Population, total"	SP.POP.TOTL	572933	576402	577696	577918	578628	580972	585313	591301	598495	606121	613618	620860	628002	635105	642322	649753	657524	665521	673253	680010	685408	689170	691716	694076	697715	703694	712335	723384	736476	751043	766616	783121	800610	818750	837104	855391	873426	891190	908710	926049	943288	960274	976968	993562	1010410	1027657	1045508	1063708	1081568	1098089	1112617	1124837	1135046	1143866	1152297	1160987	1170189	1179685	1189262	1198574	1207361
Cyprus	CYP	"Population ages 65 and above, male (% of male population)"	SP.POP.65UP.MA.ZS	5.901649821	6.010778532	6.113252486	6.160303945	6.145404857	6.111919752	6.667153727	7.299588944	7.968958895	8.655849781	9.360190746	9.338004938	9.290389264	9.202465648	9.078833038	8.943515612	8.899248285	8.835090897	8.750048074	8.643256932	8.521981508	8.60843455	8.694019475	8.772205359	8.835971926	8.881805676	8.859659353	8.845051802	8.841416835	8.845354705	8.851326837	8.863174182	8.872541401	8.891754444	8.929487619	8.988566281	8.967261155	8.958706242	8.963932378	8.980064309	9.008954056	9.059953939	9.136561432	9.245469797	9.382275277	9.530543312	9.675563563	9.811338359	9.953635052	10.11672373	10.30828933	10.53623534	10.78040939	11.04135151	11.31282373	11.58455095	11.88044981	12.17879573	12.48657507	12.81017592	13.14932214
Cyprus	CYP	"Population ages 35-39, male (% of male population)"	SP.POP.3539.MA.5Y	5.484490551	5.493733699	5.500905484	5.460357515	5.37520426	5.296108588	5.298167611	5.333746109	5.364668517	5.369978293	5.363237928	5.484581426	5.642668447	5.819802469	5.996399347	6.16924965	6.217462171	6.309237177	6.464095426	6.66469766	6.869855214	6.860377076	6.850815109	6.882126346	6.96151138	7.053736458	7.090615264	7.113845011	7.134835225	7.163702367	7.20426317	7.304836039	7.405461278	7.49431316	7.55721166	7.587663533	7.59918919	7.581728158	7.528523589	7.448231511	7.353179352	7.286636454	7.204602198	7.100829311	6.993250105	6.908126054	6.849991673	6.816078226	6.800560727	6.817772293	6.892411921	7.053787423	7.200114338	7.288848471	7.291307205	7.221768333	7.318567309	7.383612931	7.429723938	7.471253819	7.50637102
Cyprus	CYP	"Population ages 10-14, male (% of male population)"	SP.POP.1014.MA.5Y	12.13596197	12.06708524	11.86043562	11.65061889	11.52272215	11.47291444	11.21107435	11.10297026	11.15111331	11.28682139	11.39923029	11.05049302	10.63501286	10.24840195	9.934925705	9.68479997	9.494356055	9.24497243	9.008316051	8.78479147	8.530384115	8.373229847	8.207275927	8.091731226	8.031049834	7.984088089	7.855599798	7.743176101	7.698245708	7.726879907	7.805347489	7.904080558	7.968166804	8.029672989	8.072406235	8.056175065	8.144193469	8.105580936	7.979177725	7.81221865	7.644917096	7.702467332	7.708802858	7.66616044	7.558475649	7.377505889	7.373056485	7.259087855	7.050529872	6.778821915	6.482391438	6.326978506	6.163132718	6.021983019	5.89762309	5.774215465	5.804651639	5.815585783	5.820412622	5.814312436	5.785615578
Cyprus	CYP	Wanted fertility rate (births per woman)	SP.DYN.WFRT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	31.0666	28.4048	25.743	24.6996	23.6562	22.6128	21.5694	20.526	20.608	20.69	20.772	20.854	20.936	22.684	24.432	26.18	27.928	29.676	31.3914	33.1068	34.8222	36.5376	38.253	37.5272	36.8014	36.0756	35.3498	34.624	32.5656	30.5072	28.4488	26.3904	24.332	22.0764	19.8208	17.5652	15.3096	13.054	11.8884	10.7228	9.5572	8.3916	7.226	7.0678	6.9096	6.7514	6.5932	6.435	6.1802	5.9254	5.6706	5.4158	5.161	5.0452	4.9294	4.8136	4.6978	4.582	4.4586	4.3352	\N
Cyprus	CYP	"Unemployment, male (% of male labor force) (modeled ILO estimate)"	SL.UEM.TOTL.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2.21600008	2.006999969	1.838999987	1.995000005	1.914999962	2.325999975	2.700999975	2.757999897	4.275000095	3.276000023	2.676000118	2.63499999	3.802000046	3.507999897	4.421000004	3.88499999	3.405999899	3.188999891	5.270999908	6.132999897	8.053999901	12.43299961	16.47800064	17.00300026	15.03499985	12.62300014	10.86499977	8.041999817	6.28000021	7.566999912
Cyprus	CYP	"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"	SL.UEM.1524.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	6.612999916	4.547999859	5.84499979	5.679999828	5.392000198	6.210999966	6.728000164	6.510000229	11.20300007	9.795000076	7.822999954	7.287000179	8.465999603	8.274000168	12.91300011	9.491999626	9.430999756	8.449000359	13.03899956	15.64599991	20.90699959	26.4640007	37.09000015	34.59500122	31.49600029	27.95700073	23.90800095	19.42099953	15.92800045	17.38199997
Cyprus	CYP	"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"	SL.TLF.CACT.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	76.33699799	76.78399658	75.38800049	74.96700287	74.54100037	74.10600281	73.66899872	73.22399902	72.76999664	72.30699921	71.83599854	71.97000122	71.60600281	72.8030014	72.84200287	73.33000183	72.94300079	73.22799683	72.81800079	71.11599731	71.06600189	70.39099884	70.30500031	69.89600372	69.21800232	67.11599731	66.38999939	66.66500092	67.64499664	68.68900299	69.06500244
Cyprus	CYP	"Labor force participation rate for ages 15-24, total (%) (national estimate)"	SL.TLF.ACTI.1524.NE.ZS	59.84999847	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	42.99000168	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	57.93999863	62.40999985	61.75999832	62.41999817	51.70000076	\N	\N	55.06000137	\N	\N	\N	\N	40.84000015	42.45000076	39.74000168	41.15999985	40.88999939	42.59000015	41.50999832	41.65999985	41.72999954	40.34999847	40.54999924	38.84000015	38.93999863	38.38999939	40.31999969	37.90000153	37.18999863	36.63000107	39.20000076	38.81999969	38.29000092
Cyprus	CYP	"Children in employment, study and work, female (% of female children in employment, ages 7-14)"	SL.TLF.0714.SW.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	Employment in industry (% of total employment) (modeled ILO estimate)	SL.IND.EMPL.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	29.34000015	28.5	27.13999939	26.14999962	25.53000069	25.03000069	24.54000092	24.37000084	24.11000061	23.77000046	23.69000053	23.18000031	22.87999916	23.37999916	24.04999924	22.64999962	22.52000046	23.04999924	21.81999969	20.39999962	20.89999962	20.17000008	17.55999947	16.52000046	16.22999954	17.04999924	17.04999924	16.65999985	18.44000053	\N
Cyprus	CYP	"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"	SL.EMP.TOTL.SP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	57.98799896	58.04100037	57.80099869	57.92300034	58.10499954	57.9280014	57.86899948	58.04999924	56.72700119	57.2840004	59.23500061	59.81900024	60.55500031	60.31000137	59.84999847	60.65499878	61.86600113	61.86600113	60.31399918	60.24700165	58.72999954	55.94499969	53.25400162	53.49300003	53.00299835	53.32699966	54.81999969	57.17699814	58.50899887	57.94100189
Cyprus	CYP	"Employment to population ratio, ages 15-24, male (%) (national estimate)"	SL.EMP.1524.SP.MA.NE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	39.52999878	40.38999939	37.65999985	38.61000061	40.33000183	40.49000168	40.95000076	39.08000183	39.36000061	36.38000107	34.40999985	31.77000046	30.48999977	24.01000023	25.78000069	24.03000069	26.54999924	24.23999977	27.35000038	30.40999985	30.42000008
Cyprus	CYP	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.2	0.1	0	0.1	0	0.1	0.2	0.1	0.1	0.2	0.3	0.1	0.1	0.1	0.1	\N	\N
Cyprus	CYP	Income share held by lowest 10%	SI.DST.FRST.10	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.6	3.8	3.7	3.7	3.7	3.5	3.6	3.4	3.3	3.1	3	3.2	3.4	3.4	3.5	\N	\N
Cyprus	CYP	Domestic general government health expenditure (% of GDP)	SH.XPD.GHED.GD.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2.18027353	2.233531	2.49221182	2.47707176	2.23180842	2.25430155	2.34010673	2.31242609	2.50266314	2.74965072	2.98153758	3.05716181	3.00964785	3.1639576	2.95597911	2.85344434	2.79534912	2.75970554	2.889117	3.92549944	\N
Cyprus	CYP	Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure	SH.UHC.NOP2.TO	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	"Mortality caused by road traffic injury (per 100,000 population)"	SH.STA.TRAF.P5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	12.3	11.8	12.1	11.8	14.6	12.6	9.2	11.1	9.8	9.3	8.2	7.8	6.1	5	5.3	6.7	5.2	6	5.5	5.8	\N
Cyprus	CYP	"Prevalence of overweight, weight for height, male (% of children under 5)"	SH.STA.OWGH.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	Diabetes prevalence (% of population ages 20 to 79)	SH.STA.DIAB.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	9.3	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	"Prevalence of current tobacco use, females (% of female adults)"	SH.PRV.SMOK.FE	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	22.1	\N	\N	22.4	\N	22.6	\N	22.7	\N	22.9	\N	23.3	\N	\N
Cyprus	CYP	"Immunization, HepB3 (% of one-year-old children)"	SH.IMM.HEPB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	20	27	41	54	68	88	88	88	89	89	89	88	88	88	88	93	93	93	96	96	96	96	96	96	97	97	97	97	94	\N
Cyprus	CYP	People using at least basic drinking water services (% of population)	SH.H2O.BASW.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	99.88938589	99.88931778	99.88935688	99.88154216	99.87373696	99.8659396	99.8581574	99.85039242	99.84262747	99.83488338	99.82714804	99.8194252	99.81171402	99.80399339	99.79626657	99.78851757	99.78076077	99.77298326	99.76518389	99.76519248	99.76517318
Cyprus	CYP	"Probability of dying among children ages 5-9 years (per 1,000)"	SH.DYN.0509	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1	1	1	0.9	0.9	0.8	0.8	0.8	0.7	0.7	0.7	0.7	0.6	0.6	0.6	0.6
Cyprus	CYP	"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	16.68	\N	\N	\N	\N	18.98	\N	\N	\N	\N	17.56	\N	\N	\N	\N	16.84	\N	\N	16.92	\N	\N
Cyprus	CYP	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4.335020065	3.819700003	3.385489941	3.312340021	3.353130102	3.426009893	3.791320086	3.731780052	\N	3.601910114	3.586960077	3.488970041	3.448709965	3.375469923	3.376270056	3.339240074	3.5753901	3.780299902	4.09555006	4.159969807	3.741230011	\N	\N	\N	4.772079945	4.9895401	5.11552	5.581669807	6.670229912	6.117720127	6.286670208	6.330269814	6.280829906	6.722760201	7.205450058	6.54279995	6.538539886	\N	6.483779907	6.440499783	6.326129913	6.145410061	5.754169941	\N	\N	\N
Cyprus	CYP	"Pupil-teacher ratio, tertiary"	SE.TER.ENRL.TC.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	10.90625	10	9.11881	7.38261	\N	\N	\N	8.24812	7.99451	7.42439	8.54626	8.00405	7.07451	8.12177	8.89655	9.13703	9.04497	9.67426	11.7814	12.16632	9.52616	12.16082	8.94714	9.28552	9.52761	9.62473	9.40811	\N	10.04819	9.62477	10.52381	12.19527	13.68689	14.28014	13.83735	11.94835	12.18586	10.98247	13.09637	12.62554	12.03372	11.72399	11.33913	12.68324	12.65441	12.25608	13.91423	\N	\N	\N
Cyprus	CYP	"Secondary education, teachers (% female)"	SE.SEC.TCHR.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	38.18996048	39.98086929	39.87086105	39.57529068	39.11685944	40.18767929	41.32011032	41.61148071	41.50017929	42.81365967	41.88959885	42.36954117	42.06272125	42.77973175	43.25508881	43.56277847	44.27701187	44.93688965	45.28944016	45.37395859	45.78313065	47.03947067	48.30448151	48.64318848	50.05387115	51.79244995	51.41873169	\N	51.30612183	57.27408981	57.00656128	58.63446045	59.78219986	59.5885582	60.46715927	61.07130814	62.0082283	62.99385834	63.83599854	64.17407227	64.10455322	64.74819946	65.02826691	65.71617889	65.56783295	65.72856903	66.12976074	66.70088959	66.38807678	\N
Cyprus	CYP	"School enrollment, secondary, male (% net)"	SE.SEC.NENR.MA	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	53.08664	54.60684	58.76024	60.97624	59.87184	63.97389	64.31617	61.91753	61.76502	61.4787	61.21662	59.73622	59.1818	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	88.5859	88.59075	88.41196	87.62032	\N	86.15132	86.71824	87.29244	90.30064	91.35135	91.5355	92.9749	93.03986	93.95475	94.94698	94.64525	88.05358	88.79139	90.75	92.39528	93.95699	94.17951	94.0492	95.27911	\N	\N	\N
Cyprus	CYP	"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"	SE.SEC.CUAT.UP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	57.13890839	58.66733932	61.20074844	63.52534103	64.49925995	63.82213974	65.45372009	67.78410339	68.92121124	69.89254761	69.49954987	69.05065155	71.16352844	\N	72.98135376	\N	74.47016144
Cyprus	CYP	"Children out of school, female (% of female primary school age)"	SE.PRM.UNER.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	20.4264698	21.78482056	21.95988083	22.9116497	29.00914955	31.22413063	31.88652992	30.9810009	30.00447083	30.78257942	28.48216057	31.56455994	31.94483948	31.90117073	31.04803085	26.49703026	22.51317024	21.23983955	21.04756927	21.21958923	20.84929085	22.80079079	2.331190109	3.220940113	3.868530035	4.142829895	3.623970032	\N	\N	1.59502995	1.841820002	0.928560019	0.722829998	0.897430003	\N	\N	\N	\N	\N	\N	\N	1.324280024	1.557809949	1.844630003	1.260149956	1.568869948	1.16711998	0.818499982	\N	\N
Cyprus	CYP	"Persistence to last grade of primary, female (% of cohort)"	SE.PRM.PRSL.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	97.08783722	97.33773804	96.24524689	66.11312866	94.23274994	96.75267029	98.99082184	99.22251892	98.75047302	97.86416626	100	98.58184052	99.00424194	98.58734894	98.9598999	97.81658936	98.48397827	97.80314636	99.71305084	\N	99.18343353	99.19320679	98.90715027	99.81083679	\N	\N	\N	\N	96.2937088	98.73726654	\N	98.64463043	97.25357819	97.71375275	99.6594696	98.7766571	96.77207947	\N	\N	\N	\N	95.98895264	91.77639008	97.01439667	98.5925827	99.02227783	\N	\N	\N	\N
Cyprus	CYP	"Gross intake ratio in first grade of primary education, female (% of relevant age group)"	SE.PRM.GINT.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	82.53498	74.27274	83.25645	87.77624	72.4084	88.23939	73.16384	74.64485	73.08751	56.35069	61.05484	68.69911	78.16135	76.67845	80.53555	88.62507	87.09331	80.43665	84.76865	82.13439	77.5157	75.83396	101.13414	102.0059	98.6687	100.43921	98.41713	\N	85.43912	101.12251	99.94186	98.31575	98.97751	100.86846	101.76911	104.77416	106.05478	103.2748	106.22739	100.8858	100.94275	101.07257	100.24439	98.33257	96.00344	97.30626	97.71382	\N	\N	\N
Cyprus	CYP	"Trained teachers in preprimary education, male (% of male teachers)"	SE.PRE.TCAQ.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	99.57991028	\N	\N	\N	\N	\N	\N	\N	\N	99.73631287	\N	\N	\N	\N	\N	\N	\N	\N	\N	99.80454254	\N	\N	\N	\N	\N	\N	\N	\N	\N
